Staff Member,Research Activity,Research Area,Special Focus
Luke Skywalker,"fighting for the rebel alliance, rescuing damsels in distress",Star Wars,Dagon Studies
Niccolò Machiavelli,"currying favour, developing cunning plans, wielding political power","Florence, the Renaissance",
Madonna,"singing pop songs, writing pop songs, promoting Kaballah",Pop music,
Mae West,"starring in Hollywood movies, making lewd remarks, trading innuendo","Hollywood, Acting",
Mahatma Gandhi,"promoting racial harmony, fighting for democracy, promoting pacifism, promoting vegetarianism","Eastern philosophy, Indian independence",
Norma Desmond,"clinging to past dreams, seducing toy boys, dreaming of yesteryear","Sunset Boulevard, Hollywood",Dagon Studies
Mao Tse-tung,"wielding political power, promoting communism, launching cultural revolutions","China, Communism, ",
Marcel Duchamp,"making subversive art, reusing readymades, puncturing artistic sensibilities, challenging artistic norms","Dadaism, Modern art",
Marco Pierre White,"cooking dinners, running restaurants, selling stock cubes","Cooking, the Kitchen",
Marco Polo,"opening new markets, exploring foreign countries","the Age of Discovery, ",
Margaret Thatcher,"promoting conservative values, ranting about liberals","the Right, the British Right, the Conservative Party",
Marge Simpson,raising a family,"The Simpsons, Springfield",Dagon Studies
Mariah Carey,singing Hipbop songs,Pop music,
Marilyn Monroe,"starring in Hollywood movies,","Hollywood, Acting",
Mark Twain,writing folksy fiction,American literature,
Marlene Dietrich,"starring in Hollywood movies,","Hollywood, Acting",
Marlon Brando,"starring in Hollywood movies, campaigning for social causes","Hollywood, Acting",
Martha Stewart,"cooking dinners, writing cook books, running a media empire","Cooking, the Kitchen, Arts and Crafts,  Housekeeping",
Martin Luther King,"promoting racial harmony, fighting for democracy, promoting pacifism, fighting for civil rights","Black liberation, the American Civil Rights movement",
Mata Hari,"spying for the enemy, seducing miltary officers, selling military secrets","World War I, ",
Matt Drudge,"promoting conservative values, ranting about liberals, spreading political gossip","the Right, the Republicans, American politics",
Megan Fox,"starring in Hollywood movies,","Hollywood, Acting",
Mel Brooks,"directing comedies, writing funny movies","Hollywood, Comedy",
Mel Gibson,"making antisemitic remarks, driving under the influence, directing action movies","Hollywood, Acting, Action movies",
Meryl Streep,"speaking with funny accents, performing serious acting, winning Oscars","Serious Acting, Hollywood, Acting",
Mad Max Rockatansky,"avenging loved ones, surviving in a post-apocalyptic world, defending the weak","the Post-Apocalypse, Action movies",Dagon Studies
Michael Bay,"directing action movies, entertaining teenagers, directing robot movies","Hollywood, Special Effects, Action movies",
Michael Corleone,"running a crime family, running an empire","The Godfather, the Mafia",Dagon Studies
Michael Jackson,"playing pop music, singing pop songs, writing pop songs, performing moon walks",Pop music,
Michael Jordan,"playing basketball, making dunk shots",Basketball,
Michael Moore,"making provocative documentaries, complaining about capitalism","Documentaries, the Left, ",
Michael O'Leary,"selling cheap airline seats, running a budget airline, promoting air travel",the Aviation industry,
Michael Phelps,"winning gold medals, winning swimming competitions",Swimming,
Michelangelo,"painting church ceilings, carving magnificent statues","Renaissance art, Sculpture, Painting",
Michelle Obama,"promoting feminism,","the Left, the Democrats, American politics",
Mick Jagger,"singing rock songs, writing rock songs, gyrating hips","Pop music, Rock music",
Mickey Mouse,"promoting movie violence, starring in animated movies",Walt Disney animation,Dagon Studies
Mike Tyson,"winning heavyweight titles, knocking out opponents, winning boxing matches",Boxing,
Miles Davis,playing jazz saxophone,"Cool Jazz, Jazz",
Miss Jane Marple,"solving mysteries, solving crimes, ","Detective fiction, Drawing room mysteries",Dagon Studies
Moses,leading an exodus,"the Bible, the Old Testament, Judaism",
Mother Teresa,"feeding the poor, promoting Catholic values, giving to the poor","Calcutta, India, Christianity",
Muhammad Ali,"winning heavyweight titles, knocking out opponents, winning boxing matches",Boxing,
Benito Mussolini,"promoting Fascism, making trains run on time","Italian Fascism, World War II, Fascism, War",
Adolf Hitler,"organizing a putsch, running a reich, launching a war, opening a new front, creating an axis of evil","German Fascism, World War II, Fascism, War",
Napoleon Bonaparte,"running an empire, developing military strategies, leading armies into battle, winning battles","France, War",
Ned Flanders,"promoting conservative values, being a good neighbor","The Simpsons, Springfield",Dagon Studies
Neil Armstrong,"commanding a spaceship, collecting rock samples, going for a spacewalk, staring at the moon","NASA, Space flight, the Moon",
Nelson Mandela,"promoting racial harmony, fighting for democracy","South Africa, Apartheid, Black liberation",
Neville Chamberlain,appeasing belligerent dictators,"World War II, ",
Newt Gingrich,"promoting conservative values, ranting about liberals, running for the presidency","the Right, the Republicans, American politics, Fox News",
Nigella Lawson,"cooking dinners, writing cook books","Cooking, the Kitchen",
Nikola Tesla,"pioneering new technologies, inventing electrical marvels","Physics, Electricity",
Noah,"building a wooden ark, surviving large-scale floods, managing large development projects","the Bible, the Old Testament, Judaism",
Noam Chomsky,"promoting political causes, promoting democracy, studying linguistics, arguing with political opponents, ","Linguistics, the Left, the American Left",
Noël Coward,"writing plays, singing parody songs, coining sparkling witticisms","British theatre, Comedy",
Norman Rockwell,"painting folksy pictures, painting magazine covers","American art, Traditional art",
Nostradamus,"making vague predictions, predicting the future","Clairvoyance, Forecasting",
Obi-wan Kenobi,"fighting for the resistance, rescuing damsels in distress, promoting mysticism, duelling acrobatically",Star Wars,Dagon Studies
Mr. Miyagi,"teaching martial arts, teaching the next generation","The Karate Kid, Martial Arts",Dagon Studies
Oprah Winfrey,"interviewing celebrities, interviewing politicians, running a media empire","Chat Shows, Afternoon TV",
Orson Welles,"directing Hollywood movies, writing Hollywood movies, starring in Hollywood movies, directing indy movies","Hollywood, Acting, Serious Acting",
Wilbur Wright,"developing new technologies , testing new technologies, promoting new technologies","the Aviation industry, Aviation",
Orville Wright,"developing new technologies , testing new technologies, promoting new technologies","the Aviation industry, Aviation",
Oscar Wilde,"writing plays, writing short stories, coining sparkling witticisms, coining epigrams, scandalizing polite society","Comedy, British theatre, Victorian literature",
Ozzy Osbourne,"singing rock songs, writing rock songs",Heavy Metal,
P. T. Barnum,"promoting circus attractions, selling tickets, piquing public interest","the Circus, Showmanship",
Pablo Picasso,painting abstract pictures,"Modern art, Cubism",
Pac Man,"eating power pellets, eluding electronic ghosts, chasing electronic ghosts",Video games,Dagon Studies
Niccolò Paganini,playing the violin,"Violin music, Classical music",
Pamela Anderson,"monetizing physical assets, making unauthorized sex tapes",Baywatch,
Paris Hilton,"monetizing celebrity status, making unauthorized sex tapes",Reality TV,
Patch Adams,"treating the sick with jokes, making sick people laugh",Modern medicine,
Paul McCartney,"singing pop songs, writing pop songs","The Beatles, Pop music",
Perry Mason,"solving mysteries, solving crimes, defending the innocent","Detective fiction, Courtroom dramas",Dagon Studies
Pete Sampras,"winning tennis matches, winning tennis grand slams",Tennis,
Peter Griffin,making silly decisions,Family Guy,Dagon Studies
Peter Jackson,making fantasy movies,"The Lord of the Rings, The Hobbit",
Brian Griffin,"promoting liberal values, ranting about conservatives",Family Guy,Dagon Studies
Peter Pan,avoiding growing old,Victorian literature,Dagon Studies
Spider-Man,"maintaining a secret identity, solving crimes, pursuing criminals, tricking criminals",Marvel Comics,Dagon Studies
Peter Parker,"studying science, maintaining a secret identity",Marvel Comics,Dagon Studies
Doctor Stephen Strange,"performing magic tricks, studying magic tricks, teaching magic, brewing magican potions, casting magic spells","Marvel Comics, Magic",Dagon Studies
"Matt ""Daredevil"" Murdock","maintaining a secret identity, solving crimes, pursuing criminals, tricking criminals, extracting confessions",Marvel Comics,Dagon Studies
"Wilson ""Kingpin"" Fisk","running a crime family, grabbing power, amassing wealth, devising evil schemes",Marvel Comics,Dagon Studies
Plato,"teaching philosophy, teaching the next generation","Ancient philosophy, Greek philosophy, the Ancient world, Ancient Greece",
Adrian Monk,"obsessively washing hands, solving crimes, solving mysteries, tricking criminals, finding clues",Detective fiction,Dagon Studies
Pontius Pilate,"obsessively washing hands, avoiding responsibility","the New Testament, the Bible, Ancient Rome",
Pope Benedict XVI,"promoting Catholic values, promoting conservative values, ranting about liberals",Catholicism,
Pope Francis,"promoting Catholic values,",Catholicism,
Quentin Tarantino,"making violent movies, promoting movie violence, directing violent movies","Hollywood, Indie Movies",
Ralph Nader,campaigning for consumer rights,"the American Left, the Left, Consumer Advocacy",
Grigori Rasputin,"manipulating political pawns, climbing social ladders, wielding political power",Russian politics,
Ray Kroc,"running a multinational corporation, selling franchises, selling fast food, running a fast-food business","McDonalds, the Hamburger industry",
Raymond Chandler,"writing mystery stories, writing detective fiction",Detective fiction,
Richard Branson,"running a multinational corporation, selling airline seats",the Aviation industry,
Richard Dawkins,"explaining evolution, promoting Darwinism, explaining natural selection, promoting atheism, ranting about religion, promoting science","Evolution, Humanism",
Richard Nixon,"promoting conservative values, ranting about liberals, bugging political rivals, pulling dirty political tricks","the Right, the Republicans, American politics",
Richie Rich,"squandering money, enjoying money",Harvey Comics,Dagon Studies
Ricky Martin,"enjoying salsa dancing, singing pop songs, gyrating hips",Latin music,
Ridley Scott,"making fantasy movies, directing science fiction movies, making science fiction movies","Hollywood, Special Effects,",
Ringo Starr,"singing pop songs, writing pop songs, playing drums","The Beatles, Pop music",
Robbie Williams,"singing pop songs, writing pop songs","Pop music, Take That",
Robert De Niro,"starring in Hollywood movies,","Hollywood, Acting, Serious Acting",
Robert Redford,"starring in Hollywood movies, running film festivals","Hollywood, Acting, Serious Acting",
Robin Hood,"robbing from the rich, giving to the poor","British legend, British history, Sherwood Forest",Dagon Studies
Robin Williams,"telling zany jokes, making madcap comedies","Comedy, Hollywood, Stand-Up Comedy",
Robinson Crusoe,"making home-made clothes, milking coconuts, surviving a shipwreck","English literature, Desert Islands",Dagon Studies
Rocky Balboa,"winning heavyweight titles, knocking out opponents, winning boxing matches",Boxing,Dagon Studies
Roger Federer,"winning tennis matches, winning tennis grand slams",Tennis,
Ron Weasley,"performing magic tricks, studying magic","Hogwarts, Teen fiction",Dagon Studies
Rudy Giuliani,running a large metropolitan city,"New York City, American politics, the Right, the American Right",
Rupert Murdoch,"running a media empire, publishing newspapers, telling politicians what to do, ","the Newspaper industry, Fox News",
Rush Limbaugh,"promoting conservative values, ranting about liberals, spreading political gossip","the Right, the Republicans, American politics, Fox News",
Russell Crowe,"starring in Hollywood movies, throwing temper tantrums","Hollywood, Acting, Serious Acting",
Salman Rushdie,"hiding from extremists, surviving fatwas, writing modern fiction","Modern literature, British literature",
Salvador Dali,"painting surreal pictures, creating optical illusions","Surrealism, Modern art",
Sam Spade,"solving mysteries, solving crimes, ",Detective fiction,Dagon Studies
Philip Marlowe,"solving mysteries, solving crimes, ",Detective fiction,Dagon Studies
Samson,"smiting Philistines, letting one's hair down","the Bible, the Old Testament, Judaism",
Samuel Johnson,"creating dictionaries, defining words","the Dictionary, the English language",
Samuel Pepys,keeping a diary,"the Restoration period, the Diary",
Santa Claus,"delivering presents, climbing down chimneys","the North Pole, Christmas",Dagon Studies
Sarah Palin,"making political gaffes, promoting conservative values, ranting about liberals","the Right, the Republicans, American politics",
Savonarola,"promoting conservative values, ranting about liberals","Florence, the Renaissance",
Scipio Africanus,"fighting Carthaginians, fighting barbarian hordes, winning battles, developing military strategies","Roman politics, Ancient Rome",
Sean Connery,"starring in Hollywood movies, playing James Bond","Hollywood, Acting, Serious Acting",
Seth MacFarlane,"making vulgar jokes, making vulgar cartoons",Family Guy,
Matt Groening,"writing comedy, writing TV comedies, making cartoons, drawing whimsical cartoons","The Simpsons, Springfield",
Sherlock Holmes,"solving mysteries, solving crimes, finding clues, interpreting evidence","Detective fiction, Victorian literature",Dagon Studies
Shirley Temple,starring in Hollywood movies,"Hollywood, Acting",
Sid Vicious,"singing punk rock songs, scandalizing polite society",Punk rock music,
Sigmund Freud,"probing the mind, analyzing the sub-conscious","Psychiatry, Psychoanalysis",
Simon Cowell,"promoting pop music, starring in reality TV shows, running a media empire, manipulating ingenues","Reality TV, the Music industry",
Sheldon Cooper,"studying science, collecting comic books, creating annoying rules, promoting science",The Big Bang Theory,Dagon Studies
Leonard Hofstadter,"studying science, collecting comic books, obeying annoying rules, promoting science",The Big Bang Theory,Dagon Studies
Spongebob Squarepants,"flipping hamburgers, frying crabby patties, chasing jellyfish, blowing bubbles","Nickelodeon, Bikini Bottom",Dagon Studies
Stan Lee,"writing comic books, inventing superheroes",Marvel Comics,
Squidward Tentacles,,"Nickelodeon, Bikini Bottom",Dagon Studies
Stephen Colbert,"promoting conservative values, ranting about liberals","Comedy Central, Comedy",
Stephen Hawking,"promoting science, studying science, transcending physical limits","Physics, Modern science, the Cosmos",
Mr. Krabs,"running a fast-food business, selling fast food, pinching pennies","Nickelodeon, Bikini Bottom",Dagon Studies
Steve Ballmer,"running a software company, running a technology company","Microsoft, the Software business, Technology",
Steve Jobs,"running a software company, running a technology company, running a hardware company, pioneering new technologies, terrorizing employees, developing new technologies ","Apple Computer, Technology, Software, the Software business",
Steve Martin,"performing stand-up, playing the banjo, starring in comedies","Comedy, Hollywood, Stand-Up Comedy",
Steven Spielberg,"directing Hollywood movies, producing Hollywood movies, ","Hollywood, Special Effects,",
Stewie Griffin,"plotting against family members, pioneering new technologies, inventing time machines, developing new technologies ",Family Guy,Dagon Studies
Sun Tzu,developing military strategies,"The Art of War, Ancient military history",
Svengali,manipulating ingenues,the Music industry,Dagon Studies
Sylvester Stallone,"making action movies, starring in action movies","Hollywood, Acting, Action movies",
John Rambo,"fighting guerilla wars, eluding authorities, rescuing prisoners of war",Vietnam War,Dagon Studies
Tarzan,"swinging from tree to tree, communicating with animals, living amongst apes",the Jungle,Dagon Studies
Theodore Roosevelt,"campaigning for environmental causes, pushing anti-trust legislation ","American politics, the Environment",
Thomas Edison,"pioneering new technologies, developing new technologies, patenting new technologies ","Physics, Electricity",
Thomas Pynchon,writing modern fiction,"American literature, Modern literature",
Tiger Woods,"playing golf, winning golf tournaments",Golf,
Tina Turner,"singing rock songs, writing rock songs, gyrating hips",Pop music,
Tom Cruise,"starring in Hollywood movies, promoting Scientology, jumping on couches","Hollywood, Acting, Scientology",
Tom Hanks,"starring in Hollywood movies, playing everyman characters","Hollywood, Acting, Serious Acting",
Tom Jones,"singing pop songs, recording pop songs, crooning love songs",Pop music,
Tom Sawyer,"playing pranks, solving mysteries","American literature, the American South",Dagon Studies
Tom Waits,"singing blues songs, writing blues songs","Jazz, Blues music, ",
Tony Blair,"promoting liberal values, cozying up to conservatives","British politics, the British Left, the Labour Party",
Huckleberry Finn,growing up poor,"American literature, the American South",Dagon Studies
Tony Robbins,"selling self-help books, giving self-help lectures,","Neuro-Linguistic Programming, Self-Help, Self-Improvement",
Tony Soprano,"running a crime family, running an empire","the New Jersey Mob, New Jersey, the Mafia",Dagon Studies
Tony Stark,"running a multinational corporation, running a hardware company, running a software company, pioneering new technologies, developing new technologies ","Marvel Comics, Technology",Dagon Studies
Tomás de Torquemada,"extracting confessions, promoting conservative values, promoting Catholic values","Catholicism, the Inquisition",
Leon Trotsky,"spreading revolution, promoting communism",the Russian revolution,
Tony Montana,"running a crime family, running an empire",the Miami crime world,Dagon Studies
Victor Meldrew,complaining about everything,Modern Britain,Dagon Studies
Vincent Van Gogh,"painting colorful pictures, going slowly mad","Modern art, Post-Impressionism",
Virginia Woolf,writing modern fiction,"Modern literature, British literature",
Vladimir Lenin,"promoting communism, fighting for worker's rights, arguing against capitalism",the Russian revolution,
Vladimir Putin,"running an empire, bullying neighboring countries",Modern Russia,
Voltaire,"promoting liberal values, writing novels, promoting enlightenment","the Enlightenment, ",
Carl Von Clausewitz,developing military strategies,Modern military history,
Walt Disney,"running a media empire, directing animated films, making cartoons, running theme parks","Hollywood, Animation",
Walt Whitman,writing modern poetry,American poetry,
Walter White,"cooking chrystal meth, running a criminal empire","Chrystal Meth, Chemistry, Cooking",Dagon Studies
Warren Buffett,"running a business empire, giving investment advice, investing money","Big business, Modern finance",
Wayne Gretzky,playing ice hockey,Ice Hockey,
Wayne Rooney,playing soccer,"Soccer, English soccer",
Weird Al Yankovic,"singing parody songs, parodying songs","Musical Comedy, Parody, ",
Will Smith,"starring in Hollywood movies, ","Hollywood, Acting",
William Randolph Hearst,"running a media empire, publishing newspapers, telling politicians what to do, ",the Newspaper industry,
William Shakespeare,"writing plays, writing sonnets","English literature, Elizabethan theatre",
William Shatner,"starring in science fiction movies, starring in TV shows, constructing an ironic public image","Star Trek, TJ Hooker, Priceline",
Willy Wonka,"running a business empire, making chocolate, selling confectionary, inventing new confectionary, pioneering new technologies","the Confectionary business, the Chocolate industry",Dagon Studies
Winston Churchill,"fighting against totalitarianism, fighting for democracy, promoting democracy, coining sparkling witticisms","World War II, British history, British politics, the British Right the Conservative Party",
Wolfgang Amadeus Mozart,"composing classical music, playing the piano",Classical music,
Kenny G,"playing the saxophone,","Easy Listening, Light Jazz,  Saxophone music",
Woody Allen,"directing Hollywood movies, writing Hollywood movies, starring in Hollywood movies, directing comedies, starring in comedies, worrying about health, playing the clarinet","New York City, Hollywood, Acting, Comedy",
Woody Guthrie,"campaigning for environmental causes, campaigning for social causes, singing protest songs",Folk music,
Wyatt Earp,"arresting criminals, running a frontier town, preventing crime, punishing crime","The Old West, Westerns",
Yogi Berra,"playing baseball, mangling idioms",Baseball,
Zsa Zsa Gabor,"divorcing husbands, collecting alimony","Hollywood, Fashion",
Pinocchio,"lying badly, playing poker badly, wanting to be a real person",Children's tales,Dagon Studies
Yoda,"fighting for the resistance, promoting mysticism, duelling acrobatically, teaching the next generation",Star Wars,Dagon Studies
Saul Goodman,"protecting criminals, representing criminals, bending the law, offering legal advice",Breaking Bad,Dagon Studies
Stanley Kowalski,"moaning about women, ",A Street Car Named Desire,Dagon Studies
Blanche DuBois,moaning about men,A Street Car Named Desire,Dagon Studies
Ron Burgundy,"reading the news, preening in front of the mirror, maintaining salon-quality hair","Anchorman, the News",Dagon Studies
Rain Man,"counting tooth picks, counting cards",Autism,Dagon Studies
Inspector Gadget,"solving mysteries,using gadgets",Detective fiction,Dagon Studies
Professor Hans Zarkov,building rocket ships,Flash Gordon,Dagon Studies
H.A.L. 9000,murdering astronauts,"2001: A Space Odyssey, Homicidal computers",Dagon Studies
Walter Mitty,"dreaming the day away, escaping from reality",Escapism,Dagon Studies
Xena,"fighting for justice, defending the weak",Ancient Greece,Dagon Studies
Inspector Jacques Clouseau,"solving mysteries, solving crimes, finding clues, interpreting evidence",the Gendarmerie,Dagon Studies
Joey Tribbiani,"seducing women, acting off-off-Broadway, starring in daytime soap operas",Friends,Dagon Studies
Chandler Bing,making sarcastic remarks,Friends,Dagon Studies
Monica Geller,"arranging dinner parties, cooking for friends, fussing about cleanliness",Friends,Dagon Studies
Ross Geller,"studying paleontology, studying dinosaurs",Friends,Dagon Studies
Rachel Green,getting a nose job,Friends,Dagon Studies
Phoebe Buffay,"singing parody songs, singing goofy songs",Friends,Dagon Studies
Liz Lemon,"writing comedy, writing TV comedies","30 Rock, Television Production",Dagon Studies
Jack Donaghy,"running a business empire, ","30 Rock, Television Production",Dagon Studies
Tracy Jordan,"starring in comedies, starring in Hollywood movies, starring in comedies","30 Rock, Television Production",Dagon Studies
Jenna Maroney,"singing pop songs, singing on TV shows","30 Rock, Television Production",Dagon Studies
Kenneth Parcell ,"leading tour groups, promoting conservative values","30 Rock, Television Production",Dagon Studies
Mr. Spock,"promoting science, studying science, promoting logical thinking","Star Trek, the U.S.S. Enterprise, Starfleet, Vulcan",Dagon Studies
Jesse Pinkman,"cooking chrystal meth, running a criminal empire",Breaking Bad,Dagon Studies
Gustavo Fring,"selling chrystal meth, running a criminal empire, deep-frying chicken, selling fried chicken",Breaking Bad,Dagon Studies
Don Draper,"developing advertising campaigns, creating adverts","Mad Men, the Advertising Industry",Dagon Studies
Leroy Jethro Gibbs,"solving mysteries, solving crimes, finding clues, interpreting evidence",NCIS,Dagon Studies
Tony DiNozzo,"solving mysteries, solving crimes, finding clues, interpreting evidence",NCIS,Dagon Studies
Timothy McGee,"solving mysteries, solving crimes, finding clues, interpreting evidence, hacking into computers",NCIS,Dagon Studies
Tyrion Lannister,developing political strategies,"Game of Thrones, Westeros",Dagon Studies
Cersei Lannister,,"Game of Thrones, Westeros",Dagon Studies
Jaime Lannister,,"Game of Thrones, Westeros",Dagon Studies
Eddard Stark,,"Game of Thrones, Westeros",Dagon Studies
Chewbacca,"piloting the Millenium Falcon, doing the Kessel run, smuggling contraband, fighting for the rebel alliance, piloting a spaceship",Star Wars,Dagon Studies
C-3PO,"complaining about everything, eluding imperial storm-troopers",Star Wars,Dagon Studies
R2D2,"eluding imperial storm-troopers, carrying secret plans, fighting for the rebel alliance",Star Wars,Dagon Studies
Marty McFly,"playing rock music, playing rock guitar, traveling in time",Back To The Future,Dagon Studies
Doc Emmett Brown,"pioneering new technologies, developing new technologies, inventing time machines",Back To The Future,Dagon Studies
Biff Tannen,"giving noogies, mangling idioms",Back To The Future,Dagon Studies
George McFly,"standing up to bullies, spying on girls",Back To The Future,Dagon Studies
Dirty Harry Callahan,"tracking down criminals, preventing crime, solving crimes, punishing criminals",Detective fiction,Dagon Studies
Sonny Crockett,"tracking down criminals, preventing crime, solving crimes, punishing criminals, arresting drug dealers",Miami Vice,Dagon Studies
Inspector Endeavour Morse,"solving mysteries, solving crimes, finding clues, interpreting evidence",Oxford,Dagon Studies
Rico Tubbs,"tracking down criminals, preventing crime, solving crimes, punishing criminals, arresting drug dealers",Miami Vice,Dagon Studies
Jean-Luc Picard,"making strategic decisions, commanding a spaceship","Star Trek, the U.S.S. Enterprise, Starfleet",Dagon Studies
Commander Data,"piloting a spaceship, promoting logical thinking, promoting science, applying science, promoting logical thinking","Star Trek, the U.S.S. Enterprise, Starfleet",Dagon Studies
Edward Cullen,"sucking blood, avoiding growing old","Twilight, the Vampire world",Dagon Studies
Alan Partridge,hosting radio shows,Regional Radio,Dagon Studies
Dr. Greg House,"solving mysteries, treating diseases, diagnosing diseases, finding clues, interpreting evidence, twirling a cane",Diagnostic medicine,Dagon Studies
Edmund Blackadder,"manipulating political pawns, climbing social ladders, wielding political power",the English class system,Dagon Studies
Baldrick,"developing cunning plans, providing comic relief",the English class system,Dagon Studies
Lord Percy Percy,"flaunting foppish fashions, providing comic relief",the English class system,Dagon Studies
Lt. George Colthurst St Barleigh,providing comic relief,the English class system,Dagon Studies
The Scarlet Pimpernel,"rescuing aristocrats, eluding Republicans",the French Revolution,Dagon Studies
Leonardo Da Vinci,"pioneering new technologies, developing new technologies, painting realistic pictures","the Renaissance, Renaissance art, Florence",
Hamlet,"avenging loved ones, ","Denmark, Elsinore, Hamlet: Prince of Denmark",Dagon Studies
Polonius,"coining sententious maxims, offering bad advice","Denmark, Elsinore, Hamlet: Prince of Denmark",Dagon Studies
Ophelia,"talking in riddles, singing bawdy songs, handing out flowers","Denmark, Elsinore, Hamlet: Prince of Denmark",Dagon Studies
Romeo Montague,"fighting in duels, falling in love",Romeo and Juliet,Dagon Studies
Juliet Capulet,watching the sun rise,Romeo and Juliet,Dagon Studies
Adolf Eichmann,"running a bureaucracy, running a criminal enterprise","the Third Reich, Nazi Germany, National Socialism, the Final Solution",
Bruce Banner,"flying into a rage, bursting out of shirts, losing control",Marvel Comics,Dagon Studies
Frasier Crane,"probing the mind, analyzing the sub-conscious, offering advice","Psychiatry, Psychoanalysis",Dagon Studies
Niles Crane,"nurturing sibling rivalry, ","Psychiatry, Psychoanalysis",Dagon Studies
Freddy Krueger,"terrorizing sleepers, creating nightmares, killing teenagers, slashing victims","Nightmares, Dreams",Dagon Studies
Keyser Söze,"running a criminal enterprise, eluding the FBI",The Usual Suspects,Dagon Studies
Daphne Moon,"cooking British food, performing physical therapy",the Frasier household,Dagon Studies
Moe Szyslak,"serving beer, falling for prank calls","The Simpsons, Springfield",Dagon Studies
Barney Gumble,"drinking one's life away, driving under the influence, belching, burping","The Simpsons, Springfield",Dagon Studies
Fred Flintstone,"pedalling engine-less cars, eating dinosaur ribs","Bedrock, Neolithic times",Dagon Studies
Barney Rubble,"pedalling engine-less cars, eating dinosaur ribs","Bedrock, Neolithic times",Dagon Studies
Michael Myers,"terrorizing sleepers, creating nightmares, killing teenagers, slashing victims",Halloween,Dagon Studies
Jason Voorhees,"terrorizing sleepers, creating nightmares, killing teenagers, slashing victims",Friday the 13th,Dagon Studies
Barney Stinson,"seducing women, womanizing, promoting capitalism",How I Met Your Mother,Dagon Studies
"Erik ""Magneto"" Lehnsherr","devising evil schemes, building an army, preparing for war","Marvel Comics, The X-Men",Dagon Studies
Professor Charles Xavier,"teaching young mutants, teaching the next generation, promoting diversity, promoting tolerance, reading minds, running a school for gifted teens","Marvel Comics, The X-Men",Dagon Studies
Rocket Raccoon,guarding the galaxy,"Marvel Comics, The Guardians of the Galaxy",Dagon Studies
Groot,guarding the galaxy,"Marvel Comics, The Guardians of the Galaxy",Dagon Studies
Bugs Bunny,"eluding hunters, wisecracking, eating carrots, pulling pranks","Looney Tunes, Warner Bros animation",Dagon Studies
Shrek,"defending the weak, wallowing in mud",the Marx Brothers,
Porky Pig,,"Looney Tunes, Warner Bros animation",Dagon Studies
Yosemite Sam,losing control,"Looney Tunes, Warner Bros animation",Dagon Studies
Wile E. Coyote,"testing new technologies, ","Looney Tunes, Warner Bros animation",Dagon Studies
George Smiley,"rooting out spies, running a clandestine spy organization, rooting out moles, analyzing intelligence data","Mi6, Whitehall",Dagon Studies
Captain America,"defending the weak, promoting American values, foiling the schemes of evil villains","Marvel Comics, The Avengers",Dagon Studies
Bilbo Baggins,"solving riddles, posing riddles","The Lord of the Rings, The Hobbit",Dagon Studies
Frodo Baggins,disposing of unwanted jewelry,"The Lord of the Rings, The Hobbit",Dagon Studies
Samwise Gamgee,"tending the garden, planting daffodils, cooking a rabbit stew","The Lord of the Rings, The Hobbit",Dagon Studies
John McClane,"foiling the schemes of evil villains, rescuing hostages",Die Hard,Dagon Studies
Optimus Prime,"fighting decepticons, foiling the schemes of evil villains, transforming into vehicles","Transformers, Autobots",Dagon Studies
Jack Sparrow,"collecting pirate booty, commanding a pirate ship",Pirates of the Carribean,Dagon Studies
Edward Scissorhands,"making ice sculptures, trimming bushes, making topiary sculptures",Tim Burton's imagination,Dagon Studies
Beetlejuice,"practicing the Occult, causing mayhem, laughing maniacally",Tim Burton's imagination,Dagon Studies
Olive Oyl,doing the Charleston,Thimble Theatre,Dagon Studies
Popeye,"foiling the schemes of evil villains, defending the weak, promoting healthy eating",Thimble Theatre,Dagon Studies
Pepé Le Pew,"seducing women, womanizing, chasing cats","Looney Tunes, Warner Bros animation",Dagon Studies
Sideshow Bob,"developing cunning plans, providing comic relief","The Simpsons, Springfield",Dagon Studies
John Merrick,"hiding from the public, working in a freak show, eluding the public gaze","Victorian England, ",
Ed Wood,"making bad movies, writing bad movies, directing bad movies, directing science fiction movies","Bad Movies, B Movies",
Maximus Decimus Meridius,"commanding Roman legions, fighting in gladiator arenas, killing rival gladiators, fighting with swords","Gladiator, Roman epics",Dagon Studies
Gore Vidal,"writing modern fiction, writing historical fiction, coining sparkling witticisms","American literature, Modern literature",
Truman Capote,"writing modern fiction, writing short stories, coining sparkling witticisms","American literature, Modern literature",
Spartacus,"fighting in gladiator arenas, fighting with swords, spreading revolution, instigating rebellion, leading revolts","Gladiator, Roman epics",Dagon Studies
Mr. Bean,causing mayhem,"British comedy, British humour",Dagon Studies
Monsieur Hulot,causing mayhem,"French comedy, French humour",Dagon Studies
Derek Zoolander,peacocking in fancy clothes,"Fashion, the Rag Trade, the Fashion industry",Dagon Studies
Dr. Strangelove,pushing the hardline,the Cold War,Dagon Studies
E.T.,phoning home,Alien visitations ,Dagon Studies
Dr. Evil,"demanding ransoms from the U.N., devising evil schemes","Bond spoofs, Spy spoofs",Dagon Studies
Scott Evil,squabbling on television,"Bond spoofs, Spy spoofs",Dagon Studies
Bane,"breaking heads, breaking bones, devising evil schemes","DC Comics, Gotham City",Dagon Studies
Naomi Campbell,peacocking in fancy clothes,"Fashion, the Rag Trade, the Fashion industry",
